"","Votante","Votacao","Voto"
"1","DjaciFalcao","ID_STF_8",1
"2","DjaciFalcao","ID_STF_9",1
"3","DjaciFalcao","ID_STF_12",1
"4","DjaciFalcao","ID_STF_13",1
"5","DjaciFalcao","ID_STF_14",0
"6","DjaciFalcao","ID_STF_47",1
"7","DjaciFalcao","ID_STF_53",1
"8","DjaciFalcao","ID_STF_55",1
"9","DjaciFalcao","ID_STF_60",1
"10","DjaciFalcao","ID_STF_66",1
"11","DjaciFalcao","ID_STF_78",0
"12","DjaciFalcao","ID_STF_83",1
"13","DjaciFalcao","ID_STF_85",1
"14","DjaciFalcao","ID_STF_87",1
"15","DjaciFalcao","ID_STF_98",0
"16","DjaciFalcao","ID_STF_100",1
"17","DjaciFalcao","ID_STF_104",1
"18","DjaciFalcao","ID_STF_106",1
"19","DjaciFalcao","ID_STF_108",1
"20","DjaciFalcao","ID_STF_112",1
"21","DjaciFalcao","ID_STF_113",1
"22","DjaciFalcao","ID_STF_119",1
"23","DjaciFalcao","ID_STF_120",0
"24","DjaciFalcao","ID_STF_123",1
"25","DjaciFalcao","ID_STF_124",1
"26","DjaciFalcao","ID_STF_125",1
"27","DjaciFalcao","ID_STF_135",1
"28","DjaciFalcao","ID_STF_151",1
"29","DjaciFalcao","ID_STF_162",1
"30","DjaciFalcao","ID_STF_165",1
"31","DjaciFalcao","ID_STF_175",1
"32","DjaciFalcao","ID_STF_176",1
"33","DjaciFalcao","ID_STF_196",1
"34","DjaciFalcao","ID_STF_237",1
"35","DjaciFalcao","ID_STF_247",1
"36","DjaciFalcao","ID_STF_251",1
"37","DjaciFalcao","ID_STF_258",1
"38","DjaciFalcao","ID_STF_278",1
"39","DjaciFalcao","ID_STF_283",1
"40","DjaciFalcao","ID_STF_289",1
"41","DjaciFalcao","ID_STF_296",1
"42","DjaciFalcao","ID_STF_300",1
"43","DjaciFalcao","ID_STF_302",1
"44","DjaciFalcao","ID_STF_305",1
"45","DjaciFalcao","ID_STF_321",1
"46","DjaciFalcao","ID_STF_325",1
"47","DjaciFalcao","ID_STF_331",1
"48","DjaciFalcao","ID_STF_343",1
"49","DjaciFalcao","ID_STF_361",1
"50","DjaciFalcao","ID_STF_372",1
"51","DjaciFalcao","ID_STF_401",1
"52","DjaciFalcao","ID_STF_408",1
"53","DjaciFalcao","ID_STF_422",1
"54","DjaciFalcao","ID_STF_430",1
"55","DjaciFalcao","ID_STF_438",1
"56","DjaciFalcao","ID_STF_471",1
"57","DjaciFalcao","ID_STF_622",1
"58","CordeiroGuerra","ID_STF_8",1
"59","CordeiroGuerra","ID_STF_9",1
