id,votacao,alpha,dim_latente
0,Vote 1,-2.0202644,-0.9151491
1,Vote 2,1.4412248,0.9389826
2,Vote 3,-1.3343881,-1.3869542
3,Vote 4,0.38028628,0.060955815
4,Vote 5,2.0827482,0.671169
5,Vote 6,-1.6215742,-0.0013606695
6,Vote 7,2.189015,0.27552375
7,Vote 8,1.5466826,0.8179992
8,Vote 9,0.36251137,-0.1064753
9,Vote 10,-0.9337715,0.5855539
10,Vote 11,-0.084796816,-0.021300586
11,Vote 12,0.008745278,-0.4193237
12,Vote 13,0.21166128,0.7660719
13,Vote 14,0.36959636,-0.33906776
14,Vote 15,0.70769393,0.539279
15,Vote 16,1.2199194,0.6449152
16,Vote 17,-0.772123,0.9886641
17,Vote 18,-1.3405596,0.8745281
18,Vote 19,-0.079569355,-0.88189435
19,Vote 20,-1.5340946,-1.2598044
20,Vote 21,5.4968777,-0.6072906
21,Vote 22,5.4324255,-0.64525294
22,Vote 23,5.0769186,-0.82865644
23,Vote 24,2.9548013,-1.2301108
24,Vote 25,0.35082453,-1.8920647
25,Vote 26,2.4316647,-0.13686378
26,Vote 27,1.999913,0.35283202
27,Vote 28,1.9098024,0.5334902
28,Vote 29,1.8669053,0.45087737
29,Vote 30,1.6536547,0.60768706
30,Vote 31,1.9823207,0.5854084
31,Vote 32,-0.014862647,1.2876074
32,Vote 33,-0.6345764,-0.874936
33,Vote 34,1.3899908,0.25408503
34,Vote 35,-1.2244191,-0.32892054
35,Vote 36,-0.7095633,0.55271184
36,Vote 37,-0.5450953,0.64514923
37,Vote 38,-1.2613888,0.77536905
38,Vote 39,-0.44364566,0.80414784
39,Vote 40,1.2599363,0.40230808
40,Vote 41,-0.09798876,0.7242442
41,Vote 42,1.549787,-0.39189017
42,Vote 43,1.3844423,-0.51716614
43,Vote 44,-0.14993572,1.2403976
44,Vote 45,-0.42185718,1.804996
45,Vote 46,-0.25612423,2.1283214
46,Vote 47,-0.7197427,2.2771344
47,Vote 48,-0.76464564,2.3016922
48,Vote 49,0.65057254,1.3603936
49,Vote 50,-0.5567619,-1.315565
50,Vote 51,2.8258712,-0.16895853
51,Vote 52,2.7509608,-0.21692607
52,Vote 53,5.5728335,-0.5939151
53,Vote 54,3.1990714,-0.3572398
54,Vote 55,1.031554,-0.4934481
55,Vote 56,-1.098516,-0.22058217
56,Vote 57,2.5705552,-0.1773369
57,Vote 58,-1.1184616,-0.60552585
58,Vote 59,0.83511955,0.8479448
59,Vote 60,5.197199,-0.6558442
60,Vote 61,-2.0177698,-0.23244204
61,Vote 62,0.5153548,0.16808061
62,Vote 63,-1.5285096,-0.10269421
63,Vote 64,-2.2446096,-0.31020963
64,Vote 65,-0.4039107,-0.7680526
65,Vote 66,5.4198084,-0.59651196
66,Vote 67,-2.37377,0.25849876
67,Vote 68,-2.040268,-0.21423571
68,Vote 69,-1.4071915,-0.020674378
69,Vote 70,1.0846454,0.26578376
70,Vote 71,-0.96028227,-0.6219922
71,Vote 72,3.3427792,-0.42664638
72,Vote 73,1.3975576,0.5189047
73,Vote 74,0.58533376,0.69693315
74,Vote 75,0.8967418,-1.7616036
75,Vote 76,-0.14872786,0.9502629
76,Vote 77,2.890683,-0.03224973
77,Vote 78,-1.3589554,-0.6454617
78,Vote 79,5.5780163,-0.56359184
79,Vote 80,5.452911,-0.63916004
80,Vote 81,5.621602,-0.5998995
81,Vote 82,0.9104245,0.95495695
82,Vote 83,2.4240797,0.033174343
83,Vote 84,2.8493881,-0.86668795
84,Vote 85,-2.1067245,-0.012972275
85,Vote 86,-2.0900626,-0.1472284
86,Vote 87,-3.1350846,0.25680754
87,Vote 88,-2.780983,0.074468456
88,Vote 89,-2.443732,0.16713245
89,Vote 90,-2.5741851,-0.16195731
90,Vote 91,-2.076624,-0.34736964
91,Vote 92,2.8352554,-0.21932231
92,Vote 93,-0.13538706,0.23471242
93,Vote 94,0.46694684,-0.1721932
94,Vote 95,5.617179,-0.5279097
95,Vote 96,3.3807151,-1.2154995
96,Vote 97,3.5285723,-1.5910152
97,Vote 98,-0.5948351,0.24670586
98,Vote 99,-2.3522017,-0.80863255
99,Vote 100,-2.5981402,-0.7918943
100,Vote 101,1.6667517,0.45917538
101,Vote 102,-1.192873,-0.83741635
102,Vote 103,0.849626,1.0605807
103,Vote 104,-0.4337258,-1.0972633
104,Vote 105,-1.4858898,-0.7642645
105,Vote 106,1.6845051,0.61481625
106,Vote 107,-3.2160518,0.42638463
107,Vote 108,-2.007713,0.31626612
108,Vote 109,-1.5818069,-0.0066601285
109,Vote 110,1.9954474,-0.54999536
110,Vote 111,0.054579064,0.12737171
111,Vote 112,2.1664824,-0.4256318
112,Vote 113,1.2786065,1.1825573
113,Vote 114,1.182233,1.4144797
114,Vote 115,-0.39488384,1.2024276
115,Vote 116,1.0056517,1.5542231
116,Vote 117,-0.81892955,-1.6380452
117,Vote 118,-0.41242263,0.20208552
118,Vote 119,-0.87419707,-0.084673956
119,Vote 120,-0.61149,-0.053387064
120,Vote 121,5.3526196,-0.58581144
121,Vote 122,0.28653818,1.5347977
122,Vote 123,0.09767919,1.41902
123,Vote 124,-0.44700113,-0.44653392
124,Vote 125,2.6456923,-0.78789604
125,Vote 126,5.4991326,-0.57702786
126,Vote 127,-1.8298893,-1.0710627
127,Vote 128,-2.23498,-0.3452365
128,Vote 129,-1.6704069,0.21111615
129,Vote 130,-1.7427759,0.42224005
130,Vote 131,2.5190656,-0.29462
131,Vote 132,0.95569396,1.446039
132,Vote 133,-1.2630913,-1.1108273
133,Vote 134,-2.3475392,-0.15960692
134,Vote 135,1.9131687,0.775489
135,Vote 136,5.606992,-0.5776477
136,Vote 137,0.7335643,1.140804
137,Vote 138,0.2892967,-1.1082567
138,Vote 139,0.36776316,1.0727565
139,Vote 140,-0.6546731,-0.42979568
140,Vote 141,5.366435,-0.54464376
141,Vote 142,-2.1130722,-1.7700888
142,Vote 143,-1.0753502,-1.4289254
143,Vote 144,-0.6735658,1.5023557
144,Vote 145,2.210225,-1.9304171
145,Vote 146,-1.4778799,0.4397611
146,Vote 147,5.2455916,-0.6274393
147,Vote 148,-0.3188074,0.13227218
148,Vote 149,0.6505581,1.3217256
149,Vote 150,1.2556739,0.6607354
150,Vote 151,0.8422595,0.9138909
151,Vote 152,-1.2867615,-0.8204119
152,Vote 153,5.4988594,-0.50845665
153,Vote 154,0.15543194,0.49842134
154,Vote 155,-0.77285945,-0.31657726
155,Vote 156,0.1407818,0.36853525
156,Vote 157,-0.7302448,-0.2574754
157,Vote 158,0.4495571,-0.41172636
158,Vote 159,1.4106618,0.9487638
159,Vote 160,-0.45816496,-0.37330514
160,Vote 161,-2.002558,-1.1812553
161,Vote 162,0.4308417,0.724115
162,Vote 163,-2.011961,-0.81609046
163,Vote 164,0.2457062,0.8512636
164,Vote 165,-0.7729481,0.501098
165,Vote 166,0.33157524,0.6679967
166,Vote 167,0.84756756,0.26611394
