id,votante,partido,alpha,dim_latente
0,SPARKMAN (D AL),D,-0.32322562,-0.5589658
1,HILL (D AL),D,-0.2373094,-0.21217217
2,GRUENING (D AK),D,0.22260338,-2.2775614
3,BARTLETT (D AK),D,-0.2156062,-2.119855
4,HAYDEN (D AZ),D,-0.4417103,-1.0726982
5,FANNIN (R AZ),R,-0.12284191,1.0668911
6,FULBRIGHT (D AR),D,-0.16129853,-0.95069546
7,MCCLELLAN (D AR),D,-0.22380495,0.33672705
8,KUCHEL (R CA),R,-0.026452042,-1.1321119
9,MURPHY (R CA),R,0.19350237,0.67505115
10,DOMINICK (R CO),R,0.112239756,0.1797364
11,ALLOTT (R CO),R,-0.088987276,0.2096576
12,DODD (D CT),D,0.33814305,-1.8710729
13,RIBICOFF (D CT),D,0.37503225,-2.506196
14,BOGGS (R DE),R,0.22513151,-0.50840014
15,WILLIAMS (R DE),R,0.0911915,1.6080121
16,SMATHERS (D FL),D,-0.1032528,-0.414468
17,HOLLAND (D FL),D,-0.39150587,0.111171566
18,RUSSELL (D GA),D,-0.47211498,0.9148499
19,TALMADGE (D GA),D,0.020952152,0.3748135
20,FONG (R HI),R,0.20107916,-1.0465267
21,INOUYE (D HI),D,0.34591168,-3.5333085
22,CHURCH (D ID),D,0.16340649,-1.7058862
23,JORDAN (R ID),R,0.14858554,0.53806216
24,DIRKSEN (R IL),R,0.10394915,0.13648413
25,PERCY (R IL),R,0.120318726,-0.9866383
26,HARTKE (D IN),D,0.6175156,-2.324828
27,BAYH (D IN),D,0.5128564,-2.895583
28,MILLER (R IA),R,0.095372505,0.45415437
29,HICKENLOOPE (R IA),R,-0.09905749,0.9811257
30,CARLSON (R KS),R,-0.0040169363,0.11568918
31,PEARSON (R KS),R,0.016987907,-0.3136533
32,COOPER (R KY),R,0.20115776,-1.2236772
33,MORTON (R KY),R,0.31172732,-0.31501764
34,ELLENDER (D LA),D,-0.46171695,0.014180171
35,LONG (D LA),D,-0.21133025,-0.58190334
36,MUSKIE (D ME),D,-0.15648219,-3.6098137
37,SMITH (R ME),R,-0.13703787,-0.52012557
38,BREWSTER (D MD),D,0.39308628,-2.8517656
39,TYDINGS (D MD),D,0.11947135,-3.6318007
40,BROOKE (R MA),R,0.26205444,-1.8190343
41,KENNEDY (D MA),D,0.15691058,-4.7195888
42,GRIFFIN (R MI),R,0.35784915,-0.62452006
43,HART (D MI),D,-0.014353461,-5.649083
44,MONDALE (D MN),D,0.1770146,-6.4390244
45,MCCARTHY (D MN),D,-0.28114247,-3.4779167
46,STENNIS (D MS),D,-0.48862594,0.4694837
47,EASTLAND (D MS),D,-0.33999896,0.5982305
48,SYMINGTON (D MO),D,0.07161623,-1.6914872
49,LONG (D MO),D,0.3829637,-3.6770504
50,METCALF (D MT),D,-0.26259375,-4.080408
51,MANSFIELD (D MT),D,-0.2892153,-1.6831003
52,CURTIS (R NE),R,-0.028814446,1.6992077
53,HRUSKA (R NE),R,0.1430859,1.2339928
54,BIBLE (D NV),D,-0.20094986,-0.8692083
55,CANNON (D NV),D,-0.06480997,-1.123847
56,MCINTYRE (D NH),D,-0.023107283,-2.6458113
57,COTTON (R NH),R,0.2127162,0.38777304
58,CASE (R NJ),R,0.24213953,-2.5774796
59,WILLIAMS (D NJ),D,0.293449,-4.5828314
60,ANDERSON (D NM),D,-0.39393473,-1.5494748
61,MONTOYA (D NM),D,-0.13804872,-2.1928508
62,JAVITS (R NY),R,0.5531998,-2.6019022
63,KENNEDY (D NY),D,0.55206263,-4.6836824
64,JORDAN (D NC),D,-0.19252464,-0.0060423603
65,ERVIN (D NC),D,0.026474804,0.32299227
66,YOUNG (R ND),R,0.049484506,0.28338096
67,BURDICK (D ND),D,0.10510792,-2.638673
68,YOUNG (D OH),D,0.1603772,-2.6749415
69,LAUSCHE (D OH),D,-0.006749493,0.1849498
70,MONRONEY (D OK),D,-0.26147854,-1.5452565
71,HARRIS (D OK),D,-0.20863214,-3.2605634
72,MORSE (D OR),D,0.26022515,-2.6120718
73,HATFIELD (R OR),R,0.19932014,-1.2055832
74,SCOTT (R PA),R,0.10297428,-1.1290954
75,CLARK (D PA),D,0.78332955,-4.0094123
76,PASTORE (D RI),D,0.52549046,-2.539026
77,PELL (D RI),D,0.52506125,-3.5563478
78,HOLLINGS (D SC),D,-0.3268779,0.14471243
79,THURMOND (R SC),R,-0.3443654,2.2995632
80,MCGOVERN (D SD),D,0.50968194,-2.4078128
81,MUNDT (R SD),R,0.15438297,0.6026255
82,BAKER (R TN),R,0.23382427,-0.1424169
83,GORE (D TN),D,-0.23425254,-1.6494169
84,YARBOROUGH (D TX),D,0.05608191,-3.2791986
85,TOWER (R TX),R,0.0047674836,1.2835257
86,BENNETT (R UT),R,-0.18576309,0.74345315
87,MOSS (D UT),D,0.04918511,-3.5667703
88,PROUTY (R VT),R,0.4012003,-0.7987669
89,AIKEN (R VT),R,0.12900688,-0.87638897
90,SPONG (D VA),D,-0.062291585,-0.6420589
91,BYRD (D VA),D,-0.042317893,0.42063168
92,MAGNUSON (D WA),D,-0.20272022,-2.691388
93,JACKSON (D WA),D,-0.06296231,-3.162062
94,RANDOLPH (D WV),D,0.29930088,-2.2037485
95,BYRD (D WV),D,-0.035046354,-0.6240821
96,PROXMIRE (D WI),D,0.36315152,-1.9858032
97,NELSON (D WI),D,0.43156245,-3.7888143
98,HANSEN (R WY),R,-0.010348825,1.2498969
99,MCGEE (D WY),D,-0.3147919,-3.8008213
100,JOHNSON (D US),D,0.09198004,-2.3974907
101,GOODELL (R NY),R,-6.442258e-05,-3.8033144e-05
