id,votacao,alpha
0,4,-0.007156592
1,27,0.00026448496
2,29,-0.0089817885
3,41,0.0002455923
4,51,0.0012280375
5,139,-0.0035488133
6,222,0.00053029635
7,354,-0.0019338243
8,364,0.0031944413
9,378,0.0007173704
10,386,-0.0055191736
11,451,-0.00012031847
12,750,-0.008999273
13,803,6.592762e-05
14,907,-0.00011209219
15,3356,0.0005915656
16,3357,0.000282263
17,3406,-9.9114026e-05
18,3470,0.0006138756
19,3605,-0.00060450524
20,3630,0.00013519691
21,3662,-7.5209886e-05
22,3937,0.00040104275
23,4008,-0.0004991732
24,4066,-0.006903171
25,4269,0.00035780398
26,4362,-0.00017481473
27,4439,0.00034646929
28,4674,0.0054335184
29,4764,9.854485e-05
30,4777,-9.278262e-05
31,4797,-0.00025763476
32,4798,-5.346752e-05
33,5035,-0.00013030812
34,5037,0.00030057205
35,5526,-9.800913e-05
36,5540,-0.000108052176
37,5763,-0.0029048934
38,124,-0.0036919569
39,238,0.000133761
40,246,-7.618891e-05
41,291,1.5604077e-05
42,336,-0.001966563
43,341,0.0019025226
44,374,1.9629908e-05
45,396,0.0012389491
46,442,0.00050266663
47,484,-0.00040696366
48,524,0.00017463177
49,541,0.0018950338
50,603,0.0044164984
51,608,0.00010313894
52,639,0.0002885139
53,820,0.0031840305
54,845,-0.00037608983
55,874,0.0014542118
56,875,0.00062482397
57,890,-0.0030199108
58,932,-0.002149005
59,951,0.0008792676
60,1007,0.00023059789
61,1045,-0.00049803464
62,1105,0.00041350618
63,1127,-0.0050465222
64,1175,0.00016450699
65,1194,-0.004363053
66,1231,-0.0030834975
67,1245,-0.00046630652
68,1266,0.0004095603
69,1328,0.0013704686
70,1399,2.4128982e-05
71,1442,0.0018086076
72,1445,0.0002524273
73,1448,-0.00038570826
74,1454,9.942281e-05
75,1461,0.0007152487
76,1557,-0.00066674576
77,1570,0.0008182154
78,1571,-6.696584e-05
79,1575,-0.0056388946
80,1589,0.0009784005
81,1646,0.00042768556
82,1648,-0.00021286182
83,1695,0.00044096063
84,1698,-0.00011884789
85,1721,5.7299938e-05
86,1729,-0.0007249871
87,1770,0.001388733
88,1864,0.0011318675
89,1882,-0.00019915664
90,1916,-0.0013679574
91,1923,-5.676353e-06
92,1950,1.2268429e-06
93,1985,-0.004129877
94,1987,-5.2483472e-05
95,1998,0.0015116753
96,2012,0.0010339
97,2056,0.00019933874
98,2059,-0.0006851361
99,2103,5.9373124e-06
100,2129,-0.0005239192
101,2143,-0.00025784198
102,2158,-0.0064314124
103,2182,0.0013353208
104,2189,-0.009725232
105,2212,0.0016868907
106,2240,-0.00038855217
107,2280,-7.861504e-05
108,2314,-0.010483133
109,2340,0.0011863003
110,2359,-0.00010465506
111,2374,0.0028762051
112,2378,-6.7790897e-06
113,2391,0.0013720046
114,2395,0.0001695412
115,2396,0.0008506655
116,2404,-0.0034578757
117,2415,-0.0003819508
118,2416,-0.0027414134
119,2419,0.0002898858
120,2432,-0.00031812512
121,2452,0.00020668289
122,2461,-0.0020743741
123,2472,0.0008518095
124,2476,0.00014090895
125,2480,2.4678418e-05
126,2501,0.0002902698
127,2544,9.713182e-05
128,2549,-1.0362652e-05
129,2558,-0.00027336524
130,2581,-0.004430544
131,2587,-0.0042718877
132,2588,0.0011394422
133,2591,0.0003074185
134,2597,0.00034854497
135,2602,-3.515688e-05
136,2615,-0.004955709
137,2643,3.6822974e-05
138,2645,0.0018859832
139,2648,-0.004716724
140,2649,-0.00017746937
141,2672,-0.002215614
