id,votante,alpha
0,ThompsonFlores,0.4090511
1,DjaciFalcao,0.72559154
2,AntonioNeder,0.23172864
3,XavierAlbuquerque,0.039327674
4,LeitaoAbreu,-0.081918664
5,CordeiroGuerra,0.38684016
6,MoreiraAlves,0.44888568
7,CunhaPeixoto,0.10553801
8,SoaresMunoz,0.42287853
9,DecioMiranda,0.2126439
10,RafaelMayer,0.616147
11,ClovisRamalhete,-0.060286988
12,FirminoPaz,0.445381
13,NeriSilveira,0.14502256
14,AlfredoBuzaid,0.6647364
15,OscarCorrea,0.24143128
16,AldirPassarinho,0.41196948
17,FranciscoRezek,0.27886847
18,SydneySanches,0.5962901
19,OctavioGallotti,0.106835835
20,CarlosMadeira,4.0873572e-05
21,CelioBorja,2.320356e-05
22,PauloBrossard,0.00012595807
23,SepulvedaPertence,7.794433e-05
24,CelsodeMello,4.8689326e-06
25,MarcoAurelio,5.842035e-05
