Variavel,ID,Descricao
Votante,0,Abelardo Lupion
Votante,1,Adauto Pereira
Votante,2,Affonso Camargo
Votante,3,Agnaldo Muniz
Votante,4,Airton Roveda
Votante,5,Albérico Filho
Votante,6,Alberto Fraga
Votante,7,Alceste Almeida
Votante,8,Alceu Collares
Votante,9,Aldir Cabral
Votante,10,Aldo Rebelo
Votante,11,Alex Canziani
Votante,12,Alexandre Cardoso
Votante,13,Alexandre Santos
Votante,14,Almeida de Jesus
Votante,15,Almir Sá
Votante,16,Angela Guadagnin
Votante,17,Aníbal Gomes
Votante,18,Anivaldo Vale
Votante,19,Antonio Carlos Mendes Thame
Votante,20,Antonio Carlos Pannunzio
Votante,21,Antonio Cruz
Votante,22,Antonio Joaquim Araújo
Votante,23,Arlindo Chinaglia
Votante,24,Armando Abílio
Votante,25,Armando Monteiro
Votante,26,Arnaldo Faria de Sá
Votante,27,Arnaldo Madeira
Votante,28,Arnon Bezerra
Votante,29,Arolde de Oliveira
Votante,30,Ary Kara
Votante,31,Asdrubal Bentes
Votante,32,Átila Lins
Votante,33,Átila Freitas Lira
Votante,34,Augusto Farias
Votante,35,Augusto Nardes
Votante,36,B. Sá
Votante,37,Babá
Votante,38,Sebastião Barbosa Neto
Votante,39,Benito Gama
Votante,40,Carlos Rodrigues
Votante,41,Wanderval Santos
Votante,42,Cabo Júlio
Votante,43,Carlito Merss
Votante,44,Carlos Batata
Votante,45,Carlos Dunga
Votante,46,Carlos Nader
Votante,47,Carlos Santana
Votante,48,Celcita Pinheiro
Votante,49,César Bandeira
Votante,50,Cezar Schirmer
Votante,51,Chico da Princesa
Votante,52,Chico Sardelli
Votante,53,Cleuber Carneiro
Votante,54,Confúcio Moura
Votante,55,Corauci Sobrinho
Votante,56,Costa Ferreira
Votante,57,Custódio Mattos
Votante,58,Damião Feliciano
Votante,59,Darcísio Perondi
Votante,60,Delfim Netto
Votante,61,Dilceu Sperafico
Votante,62,Domiciano Cabral
Votante,63,Dr. Benedito Dias
Votante,64,Dr. Heleno
Votante,65,Dr. Hélio
Votante,66,Dr. Rosinha
Votante,67,Edinho Bez
Votante,68,Edir Oliveira
Votante,69,Edison Andrino
Votante,70,Edmar Moreira
Votante,71,Eduardo Barbosa
Votante,72,Eduardo Campos
Votante,73,Eduardo Seabra
Votante,74,Elcione Barbalho
Votante,75,Eliseu Moura
Votante,76,Enio Bacci
Votante,77,Eunício Oliveira
Votante,78,Evandro Milhomen
Votante,79,Félix Mendonça
Votante,80,Fernando Coruja
Votante,81,Fernando Diniz
Votante,82,Fernando Ferro
Votante,83,Fernando Gabeira
Votante,84,Fernando Gonçalves
Votante,85,Francisco Garcia
Votante,86,Gastão Vieira
Votante,87,Geddel Vieira Lima
Votante,88,Geraldo Magela
Votante,89,Gerson Peres
Votante,90,Gilberto Kassab
Votante,91,Gilmar Machado
Votante,92,Giovanni Queiroz
Votante,93,Givaldo Carimbão
Votante,94,Gustavo Fruet
Votante,95,Helenildo Ribeiro
Votante,96,Henrique Eduardo Alves
Votante,97,Henrique Fontana
Votante,98,Hermes Parcianello
Votante,99,Iara Bernardi
Votante,100,Iberê Ferreira
Votante,101,Ibrahim Abi-Ackel
Votante,102,Inácio Arruda
Votante,103,Inaldo Leitão
Votante,104,Inocêncio Oliveira
Votante,105,Itamar Serpa
Votante,106,Ivan Paixão
Votante,107,Jaime Martins
Votante,108,Jair Bolsonaro
Votante,109,Jairo Carneiro
Votante,110,João Almeida
Votante,111,João Caldas
Votante,112,João Castelo
Votante,113,João Eduardo Dado
Votante,114,João Grandão
Votante,115,João Herrmann Neto
Votante,116,João Leão
Votante,117,João Magalhães
Votante,118,João Magno
Votante,119,João Matos
Votante,120,João Pizzolatti
Votante,121,João Tota
Votante,122,Joaquim Francisco
Votante,123,Jorge Alberto
Votante,124,Jorge Bittar
Votante,125,Jorge Khoury
Votante,126,Jorge Pinheiro
Votante,127,Jorge Tadeu Mudalen
Votante,128,José Borba
Votante,129,José Carlos Elias
Votante,130,José Chaves
Votante,131,José Dirceu
Votante,132,José Genoíno
Votante,133,José Janene
Votante,134,José Linhares
Votante,135,José Mendonça Bezerra
Votante,136,José Militão
Votante,137,José Pimentel
Votante,138,José Priante
Votante,139,José Rocha
Votante,140,Josué Bengtson
Votante,141,Jovair Arantes
Votante,142,Júlio Redecker
Votante,143,Julio Semeghini
Votante,144,Jurandil Juarez
Votante,145,Jutahy Junior
Votante,146,Kátia Abreu
Votante,147,Lael Varella
Votante,148,Laura Carneiro
Votante,149,Lavoisier Maia
Votante,150,Léo Alcântara
Votante,151,Lincoln Portela
Votante,152,Luci Choinacki
Votante,153,Luciano Bivar
Votante,154,Luciano Castro
Votante,155,Luciano Pizzatto
Votante,156,Luciano Zica
Votante,157,Luiz Alberto
Votante,158,Luiz Antonio Fleury
Votante,159,Luiz Bittencourt
Votante,160,Luiz Carlos Hauly
Votante,161,Luiz Dantas
Votante,162,Luiz Eduardo Greenhalgh
Votante,163,Dr. Luiz Fernando
Votante,164,Luiz Piauhylino
Votante,165,Luiz Sérgio
Votante,166,Luiza Erundina
Votante,167,Manoel Salviano
Votante,168,Marçal Filho
Votante,169,Marcelo Barbieri
Votante,170,Marcelo Teixeira
Votante,171,Márcio Bittar
Votante,172,Márcio Fortes
Votante,173,Márcio Reinaldo Moreira
Votante,174,Marcos de Jesus
Votante,175,Marcos Lima
Votante,176,Marcus Vicente
Votante,177,Maria do Carmo Lara
Votante,178,Marinha Raupp
Votante,179,Mário Assad Júnior
Votante,180,Mário de Oliveira
Votante,181,Mário Negromonte
Votante,182,Mauro Benevides
Votante,183,Mauro Lopes
Votante,184,Max Rosenmann
Votante,185,Medeiros
Votante,186,Mendes Ribeiro Filho
Votante,187,Milton Barbosa
Votante,188,Milton Monti
Votante,189,Miro Teixeira
Votante,190,Moacir Micheletto
Votante,191,Moroni Torgan
Votante,192,Narcio Rodrigues
Votante,193,Neiva Moreira
Votante,194,Nelson Meurer
Votante,195,Nelson Pellegrino
Votante,196,Nelson Proença
Votante,197,Nelson Trad
Votante,198,Neuton Lima
Votante,199,Ney Lopes
Votante,200,Nice Lobão
Votante,201,Nicias Ribeiro
Votante,202,Nilmário Miranda
Votante,203,Nilson Mourão
Votante,204,Odelmo Leão
Votante,205,Odílio Balbinotti
Votante,206,Olavo Calheiros
Votante,207,Orlando Desconsi
Votante,208,Orlando Fantazzini
Votante,209,Osmar Serraglio
Votante,210,Osmar Terra
Votante,211,Osório Adriano
Votante,212,Osvaldo Biolchi
Votante,213,Paes Landim
Votante,214,Pauderney Avelino
Votante,215,Paulo Baltazar
Votante,216,Paulo Delgado
Votante,217,Paulo Feijó
Votante,218,Paulo José Gouvêa
Votante,219,Paulo Magalhães
Votante,220,Paulo Marinho
Votante,221,Paulo Rocha
Votante,222,Pedro Corrêa
Votante,223,Pedro Eugênio
Votante,224,Pedro Fernandes
Votante,225,Pedro Henry
Votante,226,Pedro Irujo
Votante,227,Pedro Novais
Votante,228,Philemon Rodrigues
Votante,229,Pompeo de Mattos
Votante,230,Professor Luizinho
Votante,231,Rafael Guerra
Votante,232,Raimundo Gomes de Matos
Votante,233,Raimundo Santos
Votante,234,Reginaldo Germano
Votante,235,Reinaldo Gripp
Votante,236,Remi Trinta
Votante,237,Ricardo Barros
Votante,238,Ricardo Berzoini
Votante,239,Ricardo Nagib Izar
Votante,240,Ricarte de Freitas
Votante,241,Rita Camata
Votante,242,Roberto Pessoa
Votante,243,Roberto Rocha
Votante,244,Robson Tuma
Votante,245,Rodrigo Maia
Votante,246,Romel Anizio
Votante,247,Romeu Queiroz
Votante,248,Rommel Feijó
Votante,249,Ronaldo Caiado
Votante,250,Ronaldo Vasconcellos
Votante,251,Rose de Freitas
Votante,252,Rubens Bueno
Votante,253,Salatiel Carvalho
Votante,254,Salvador Zimbaldi
Votante,255,Saraiva Felipe
Votante,256,Sérgio Miranda
Votante,257,Silas Câmara
Votante,258,Silvio Torres
Votante,259,Simão Sessim
Votante,260,Socorro Gomes
Votante,261,Telma de Souza
Votante,262,Teté Bezerra
Votante,263,Themístocles Sampaio
Votante,264,Vadão Gomes
Votante,265,Vanessa Grazziotin
Votante,266,Vic Pires Franco
Votante,267,Vicente Arruda
Votante,268,Vilmar Rocha
Votante,269,Virgílio Guimarães
Votante,270,Vittorio Medioli
Votante,271,Waldemir Moka
Votante,272,Walter Pinheiro
Votante,273,Wilson Braga
Votante,274,Wilson Cignachi
Votante,275,Wolney Queiroz
Votante,276,Xico Graziano
Votante,277,Yeda Crusius
Votante,278,Zenaldo Coutinho
Votante,279,Adão Pretto
Votante,280,Alberto Goldman
Votante,281,Antonio Feijão
Votante,282,Aracely de Paula
Votante,283,Badu Picanço
Votante,284,Carlos Alberto Rosado
Votante,285,Celso Russomanno
Votante,286,Ciro Nogueira
Votante,287,Claudio Cajado
Votante,288,Cleonâncio Fonseca
Votante,289,Coriolano Sales
Votante,290,Dr. Evilásio
Votante,291,Eliseu Resende
Votante,292,Enivaldo Ribeiro
Votante,293,Fátima Pelaes
Votante,294,Feu Rosa
Votante,295,Francisco Rodrigues
Votante,296,Gervásio Silva
Votante,297,Heráclito Fortes
Votante,298,Iris Simões
Votante,299,João Carlos Bacelar
Votante,300,João Paulo Cunha
Votante,301,Jonival Lucas Junior
Votante,302,José Aníbal
Votante,303,José Carlos Aleluia
Votante,304,José Múcio Monteiro
Votante,305,Lino Rossi
Votante,306,Luis Carlos Heinze
Votante,307,Marcelo Castro
Votante,308,Marcondes Gadelha
Votante,309,Maria Lúcia Cardoso
Votante,310,Michel Temer
Votante,311,Múcio Sá
Votante,312,Nelson Marquezelli
Votante,313,Nilton Capixaba
Votante,314,Oliveira Filho
Votante,315,Osmânio Pereira
Votante,316,Osvaldo Coelho
Votante,317,Osvaldo Reis
Votante,318,Paulo Kobayashi
Votante,319,Paulo Lima
Votante,320,Pedro Canedo
Votante,321,Ricardo Fiuza
Votante,322,Ricardo Rique
Votante,323,Roberto Balestra
Votante,324,Roberto Brant
Votante,325,Roberto Jefferson
Votante,326,Sebastião Madeira
Votante,327,Silas Brasileiro
Votante,328,Valdemar Costa Neto
Votante,329,Zulaiê Cobra
Votante,330,Gerson Gabrielli
Votante,331,Gonzaga Patriota
Votante,332,José Thomaz Nonô
Votante,333,Pedro Chaves
Votante,334,Adelor Vieira
Votante,335,Alice Portugal
Votante,336,Almerinda de Carvalho
Votante,337,Almir Moura
Votante,338,Aloysio Nunes Ferreira
Votante,339,Álvaro Dias
Votante,340,Amauri Gasques
Votante,341,André de Paula
Votante,342,André Luiz
Votante,343,André Zacharow
Votante,344,Ann Pontes
Votante,345,Anselmo de Jesus
Votante,346,Antonio Cambraia
Votante,347,Antônio Carlos Biffi
Votante,348,Antonio Carlos Biscaia
Votante,349,Antonio Carlos Magalhães Neto
Votante,350,Antonio Nogueira
Votante,351,Ariosto Holanda
Votante,352,Aroldo Cedraz
Votante,353,Ary José Vanazzi
