id,partido,alpha,dim_lat1,dim_lat2
0,PFL,0.8663796,2.3136966,-2.9267423
1,PSDB,0.07072529,1.2959384,-1.9676313
2,PDT,0.0850467,-1.2783872,0.5984511
3,PCdoB,0.16040176,-2.6937191,3.3244984
4,PPB,0.017941264,0.61452746,-1.8018868
5,PMDB,0.042201176,-1.9152123,-2.1518717
6,PTB,0.038432445,-1.2786496,-1.4650277
7,PSB,0.12278917,-0.8553197,0.18789566
8,PT,0.046084832,-5.4083366,5.826989
9,PL,-0.13487348,-1.4199686,-3.129575
10,PRONA,0.018162973,3.3858461,-1.3976281
11,PSC,-0.083243534,-0.861203,-1.3691796
12,PV,0.0065755704,-0.63017434,0.31248808
13,PPS,0.08315769,0.5666195,-1.5685421
14,PMN,0.0033356997,-0.19380324,-0.7780267
15,PST,3.1646297e-05,-0.5562631,-0.65385544
16,PSL,-0.10376657,0.57727456,-2.8268423
17,PSD,-0.03239544,-1.4243296,-1.6392555
18,PP,-0.13482425,-1.679225,-2.1455736
19,S.PART.,-0.041731276,-0.7346084,-0.2629912
20,PRP,0.0026330005,-1.5134847,-0.23325896
21,PSOL,-0.0037952545,-0.9667252,2.6006799
22,PMR,0.008436045,-3.9606867,-0.36252433
23,PTC,-0.00054902746,-0.600057,0.5796126
24,PRB,-0.16092062,-1.6031659,-0.67886424
25,PR,-0.06110567,-2.000185,-1.3564832
26,DEM,-0.08820038,0.69633555,-2.1402006
27,PHS,-0.03897806,-2.379531,-0.45399624
28,PRTB,0.09844011,-0.62733686,-0.7242755
29,PTdoB,-0.04109245,-1.2742656,0.8527301
30,PAN,-0.0028836038,-1.2278364,0.35589963
31,PEN,-0.0016389389,-0.72824943,-0.16331989
32,PROS,-0.0110425735,-1.2589722,-0.40367624
33,SDD,-0.018368926,0.29724973,-2.2517455
34,SD,0.01044016,0.16891217,-1.7179929
35,PSDC,-0.075670026,-3.4182653,-1.8300668
36,PTN,0.15779132,-2.201227,-0.024565551
37,REDE,0.0084941,-0.36034188,0.7836408
38,PMB,0.013857868,-1.12526,1.0851417
39,PODE,0.062044743,0.046613045,-0.85458124
40,AVANTE,0.102434374,-0.07630782,-0.4056339
41,MDB,0.0155893415,-1.8413575,-1.7230155
42,PATRI,-0.12353704,-1.4139272,-0.2050228
43,PPL,0.011587556,-1.6511555,0.76086587
44,NOVO,-0.0978792,1.9557904,-1.2045496
45,PATRIOTA,-0.10568652,0.25178456,-2.444558
46,SOLIDARIEDADE,0.0029469559,-1.9741066,-0.8098123
47,CIDADANIA,0.06907442,-0.47630322,-0.68092793
48,REPUBLICANOS,0.3337424,-2.0043302,-3.2850783
49,DC,0.00013680948,0.16291405,-2.5309012
50,UNIÃO,-0.016862525,-0.3627669,-2.100229
