id,uf,alpha,dim_lat1,dim_lat2
0,PR,-0.037110474,-1.0592202,-0.90369993
1,PB,0.061511196,-2.0832686,-0.4081924
2,CE,0.012798907,-1.9585733,-0.34578794
3,RO,0.032689285,-1.4469908,-0.62926775
4,DF,-0.02655994,-0.91937804,-0.94017744
5,RR,-0.018229907,-1.6946667,-1.0971814
6,RS,-0.004492027,-0.88368714,-0.4597377
7,MA,0.023755182,-1.8163644,-0.8162274
8,RJ,-0.00038113265,-1.1379186,-0.6042979
9,GO,-0.00908924,-1.4486252,-1.079725
10,SP,-0.03512284,-1.0696244,-0.5936219
11,RN,0.08597949,-1.5528598,-0.5678249
12,PA,-0.042644426,-1.4860003,-0.75177914
13,SC,-0.016603963,-0.75637287,-0.67740035
14,MS,0.014929831,-1.3545977,-0.48983154
15,MG,0.02623234,-1.6151277,-0.6744029
16,TO,0.09208543,-1.706786,-1.0194587
17,BA,-0.032611735,-1.8130099,-0.4894396
18,PE,-0.00043280196,-1.5236228,-0.3021046
19,AM,0.047875807,-1.1648387,-0.60113215
20,PI,0.02359248,-2.0239236,-1.0581867
21,AL,0.048829112,-1.9659097,-0.4464498
22,MT,0.008563291,-1.7134807,-1.2734691
23,AP,0.05582211,-1.9864724,-0.7615979
24,AC,0.06472609,-1.8217137,-0.39829838
25,SE,0.02386019,-1.2959532,-0.46666446
26,ES,-0.02797999,-1.1018918,-0.5106919
