id,votacao,alpha,dim_lat1,dim_lat2
0,14541-69,-0.0035841505,-0.860429,-0.7535424
1,21306-49,-0.0011092242,-1.515552,-1.0694249
2,32428-111,-0.12660405,-0.42045918,-0.4747918
3,32428-59,1.0964279,-0.08606196,1.0074865
4,98814-18,2.8854256e-06,-1.6277508,-0.9486111
5,113716-111,-0.915592,-0.5679911,-0.08290327
6,113716-267,-1.067954,-0.57206905,-0.1525263
7,113717-114,-0.008843545,1.0868472,0.63091254
8,113717-142,-0.0020514142,1.3820801,0.8330432
9,113717-152,-0.001905559,-1.3634456,-0.39387193
10,113717-171,-0.00036669156,1.4513791,1.044861
11,113717-181,-0.484306,-1.0947479,0.17265683
12,113717-184,-0.02096657,-1.3634349,0.30957288
13,113717-189,0.001151217,-2.001776,0.36825654
14,113717-194,0.012776128,1.6675376,-0.39802524
15,113717-197,0.003212806,0.93222535,-0.14365932
16,113717-200,-0.008713055,0.96032244,-0.20851892
17,113717-202,-0.0011337532,1.2363933,-0.16190495
18,113717-204,0.009433286,1.1970074,-0.16579363
19,113717-230,0.004058474,-0.9515792,0.15544909
20,113717-250,-0.0051269988,1.4406316,-0.016247023
21,113717-295,-0.0037658487,0.98685724,0.3904527
22,113717-59,-0.0099845985,-0.7610411,-0.1519398
23,113717-95,0.0090294685,1.6346954,0.69849515
24,115155-58,0.09042109,-1.4865392,-1.1153493
25,125572-116,-0.00387351,-1.4449658,-1.3631577
26,140406-31,0.015397161,1.6740006,0.39245087
27,14312-64,-1.0427717,1.305245,1.126824
28,14312-65,0.0014610274,-1.2927301,-0.8105567
29,14312-81,-0.0028401094,-1.5238179,-0.8259287
30,143282-5,-0.002846025,-1.1701669,0.27966616
31,145211-10,-7.023869e-05,-1.1697706,0.11416919
32,32147-56,0.0003814897,-1.8139615,-1.373993
33,43733-12,0.012226176,-1.4684238,-1.0938895
34,109175-70,-0.005523443,-0.77591157,-0.49680203
35,120186-63,1.6061535,-0.13340105,-0.027598223
36,120186-68,-0.14105958,-0.21439967,-0.005448105
37,125572-186,-0.016982011,-1.2004008,-1.2900007
38,125572-187,0.39695466,-0.30552688,0.07810437
39,126541-68,-0.0046832124,-0.7904405,-0.18586762
40,126541-98,-0.007244469,-1.5726184,-0.7346675
41,140174-133,0.03390883,0.94574034,-0.2806827
42,140174-83,0.0038534363,1.1251347,0.51077056
43,14614-90,-1.2562432e-05,-2.296166,-1.539624
44,149095-73,-0.0041539175,1.3542582,-0.052352708
45,150357-107,-0.00049478834,1.3986372,0.2844306
46,150357-52,0.0060183047,2.035682,0.057898406
47,150357-60,-3.920863e-05,-4.204412,-0.36318624
48,150357-80,-0.0004495121,1.2959108,0.25701195
49,150358-37,-0.008515838,-1.0753741,0.27357745
50,150359-100,-0.0040907343,1.1580805,0.4849119
51,150373-73,0.008883369,-1.5042675,-0.15305716
52,150373-84,0.0045780316,1.0609382,0.5213221
53,150399-106,-1.5912176e-05,-1.6803181,-1.0302348
54,150399-149,-0.53079337,0.17728668,-0.121987335
55,150410-48,4.94744e-05,-2.6362178,-2.1507862
56,150410-67,-9.4441784e-05,-2.6924229,-2.173284
57,150930-5,-0.014374468,-1.2670603,0.05549927
58,151030-5,-0.5161719,-0.6584045,-0.5952301
59,153730-20,0.0040788013,0.98293626,0.22231832
60,153730-36,-0.00021110199,-2.044615,0.1509052
61,153730-70,-0.016564477,1.0738091,0.27086976
62,154096-7,-0.0005657488,-2.0022783,-1.2915561
63,154465-44,-2.0182688e-07,2.7833593,1.2417117
64,154528-107,0.00060727296,1.1237482,0.33988914
65,154528-119,-0.7040224,-0.46716145,-0.007921078
66,154528-49,-3.883417e-05,2.7651713,0.7576814
67,154528-68,-0.0026780323,-0.81838244,-0.011826555
68,154538-23,2.709903e-05,0.71418077,0.10819813
69,154538-56,0.0035320586,-0.50481075,0.111682095
70,154539-48,0.009965577,1.6114608,0.7688097
71,158197-54,-9.498684e-05,1.6552371,0.37178504
72,158197-71,-0.0023898794,1.2916173,-0.34421334
73,159554-31,-0.0084457975,1.2031912,-0.30346736
74,251072-105,2.0389345,0.7874448,0.15193692
75,251072-21,0.014094605,2.4916563,1.0092775
76,251072-39,1.8483516,0.7911791,0.037076447
77,251072-48,2.0318875,0.75727093,0.050439354
78,251120-102,0.024735492,0.4747317,-0.6569735
79,251120-49,0.010823073,1.2891605,0.27180442
80,251120-67,-0.0011525457,1.1790528,0.43287775
81,251120-72,-0.0009075248,-0.8651516,-0.3946716
82,251120-82,3.807483e-05,1.3450974,0.4217758
83,252929-5,-0.0043201735,-1.3012701,-0.9952985
84,253166-4,-0.29322767,-0.77221125,0.34850326
85,257781-20,-6.0616818e-05,1.3172421,0.3026554
86,257781-83,0.0039519933,1.4748307,0.56763655
87,258267-45,-0.0028157295,-0.9203967,-0.52325016
88,258595-57,0.012631688,1.0993162,0.11342813
89,259400-34,-0.0042208144,1.9356695,0.44109666
90,259613-39,-0.004694996,1.6010295,0.61256284
91,260897-117,0.019724071,1.3428165,-0.3372088
92,260897-85,1.0633116e-05,2.5185263,0.922604
93,260950-69,-5.3955046e-06,2.5236666,0.8610269
94,261022-75,-0.004117933,-0.9271147,0.5258344
95,261463-71,0.0063493224,1.5911086,0.6665026
96,262198-121,-8.5492204e-05,2.5309803,1.0295386
97,262198-72,0.006637909,0.9440062,0.10565456
