id,votante,alpha,dim_lat1,dim_lat2
0,Abelardo Lupion,0.0020643142,1.3744451,-4.0589223
1,Adauto Pereira,8.438843e-06,-3.0011702,-1.2464614
2,Adolfo Marinho,-2.7705537e-05,-0.030240115,-0.8960916
3,Affonso Camargo,0.0026798246,0.6069723,-2.0546172
4,Agnaldo Muniz,0.0009206535,-1.4703708,1.2670734
5,Agnelo Queiroz,2.610724e-06,-0.3164447,0.9847292
6,Airton Cascavel,-2.8566123e-05,-0.22919862,1.0378839
7,Airton Dipp,6.244972e-05,0.49273342,1.3914595
8,Airton Roveda,0.004510948,-2.581571,-1.9993238
9,Albérico Filho,-0.0056685857,-2.596425,-0.5841363
10,Alberto Fraga,-0.010553858,1.0702256,-1.8942971
11,Alceste Almeida,-0.020245576,-2.0105953,-0.70776844
12,Alceu Collares,-0.011024514,1.4249187,-0.9500239
13,Aldir Cabral,0.002477903,1.8950554,-4.3732452
14,Aldo Arantes,-0.011473592,0.0854189,0.39722082
15,Aldo Rebelo,0.016504837,-1.3943944,-0.7150281
16,Alex Canziani,-0.03248269,-1.6600428,-0.779648
17,Alexandre Cardoso,-0.0028198406,-3.076809,1.162705
18,Alexandre Santos,0.025116451,-1.3276153,-0.19455782
19,Almeida de Jesus,-0.009613065,0.102025956,-0.32637495
20,Almir Sá,0.0003810291,-2.6400404,-2.4597685
21,Ana Catarina,-2.3168754e-05,7.473682e-07,-0.4386953
22,Ana Corso,7.605721e-05,-0.80597657,-0.96810335
23,André Benassi,9.3382514e-05,-0.018887736,-1.6182488
24,Angela Guadagnin,0.0055462834,-1.4269975,-0.7521504
25,Aníbal Gomes,-0.27209923,-2.675719,-1.8731873
26,Anivaldo Vale,-0.006696405,0.9193354,-2.6091826
27,Antônio Carlos Konder Reis,-0.00013940179,-0.09801689,-1.49524
28,Antonio Carlos Mendes Thame,-0.21673936,0.9779488,-1.0049168
29,Antonio Carlos Pannunzio,-0.050013993,1.3178607,-2.2205305
30,Antonio Cruz,0.024963938,-0.37995207,-1.0378617
31,Antônio do Valle,-6.305813e-05,8.0029295e-06,-0.62691283
32,Antonio Joaquim Araújo,0.00025872787,-1.1805454,-0.4370646
33,Antônio Jorge,-1.4308047e-05,-0.013621097,-0.5432092
34,Antonio Kandir,-7.799911e-05,-0.6505102,-0.77616334
35,Ariston Andrade,0.00019912627,2.3332407e-06,-0.0006130596
36,Arlindo Chinaglia,-0.013308431,-2.718946,1.7338268
37,Armando Abílio,0.010938752,-3.1069362,0.9148427
38,Armando Monteiro,-0.14065273,-0.8548287,-1.9524986
39,Arnaldo Faria de Sá,0.06368084,2.0361936,2.0664175
40,Arnaldo Madeira,-0.5597595,0.8859975,-0.049955606
41,Arnon Bezerra,0.01581943,-3.2100465,-1.2504898
42,Arolde de Oliveira,-0.22830082,0.67469007,-1.9596407
43,Ary Kara,6.204731e-05,-0.5397756,-0.41543028
44,Asdrubal Bentes,0.00048482773,-3.019933,-2.1452594
45,Átila Lins,0.08965624,-2.4813483,-1.8544325
46,Átila Freitas Lira,0.0039377417,-0.52064544,-1.7764683
47,Augusto Farias,0.006099492,-0.011684916,-0.83666027
48,Augusto Nardes,6.295093e-05,-0.38284814,-0.24104603
49,Avenzoar Arruda,-9.0047964e-05,9.922637e-06,-4.5173765e-06
50,B. Sá,-1.060317e-05,-4.888916,-1.3700159
51,Babá,-0.38009757,1.7899742,-1.181577
52,Sebastião Barbosa Neto,-0.006193032,-3.0411546,-0.84467524
53,Basílio Villani,-0.00014933145,-0.388484,-0.6380129
54,Benito Gama,-0.01680473,0.8962268,-3.4353762
55,Carlos Rodrigues,0.023865346,-2.5708785,0.08783518
56,Wanderval Santos,-0.000843825,-2.101685,-0.15069212
57,Cabo Júlio,-0.0021566383,-1.0147673,0.27259487
58,Candinho Mattos,9.325022e-06,-0.06259372,-1.5999198
59,Carlito Merss,-0.00023932251,-6.540954,-1.4520023
60,Carlos Batata,0.017902104,1.1464926,-0.43688843
61,Carlos Dunga,-0.017156005,-2.834231,-1.3564807
62,Carlos Mosconi,0.00023055839,-0.03509186,-1.4089056
63,Carlos Nader,0.003069405,-1.6340997,-0.47757447
64,Carlos Santana,-0.006361451,-1.7729787,0.4825241
65,Celcita Pinheiro,-0.0065235053,-1.2176647,-0.7485275
66,César Bandeira,-0.0030414658,-4.657684,0.80078804
67,Cezar Schirmer,-0.015635194,0.9729787,0.76560587
68,Chico da Princesa,0.021137968,-3.6419923,-1.9317054
69,Chico Sardelli,-0.011242474,-2.9277794,-0.6251591
70,Chiquinho Feitosa,0.0001723653,7.248241e-07,-3.267953e-05
71,Clementino Coelho,4.55795e-05,-0.0839135,-0.0069757206
72,Cleuber Carneiro,0.0012624955,-2.677623,-0.17600438
73,Confúcio Moura,0.0001631662,-2.854953,-1.978204
74,Corauci Sobrinho,-0.15387338,-0.12700112,-0.26957282
75,Costa Ferreira,0.0005075369,-1.2168595,-0.6868229
76,Cunha Bueno,2.1055006e-05,1.6519358e-05,1.2091278
77,Custódio Mattos,0.0006155111,0.63166356,-2.3483446
78,Damião Feliciano,-0.04370816,-0.58792996,0.68557596
79,Danilo de Castro,4.3029417e-05,-0.017414061,-1.1169338
80,Darcísio Perondi,0.017705021,0.6922127,-0.17368007
81,De Velasco,-9.3509276e-05,-2.795055,0.05882227
82,Delfim Netto,-0.0101853935,-1.1225111,0.6644359
83,Deusdeth Pantoja,0.00013637172,-0.0018640659,-0.8686918
84,Dilceu Sperafico,-0.028320078,-3.2246997,-2.8795602
85,Dino Fernandes,-6.093636e-06,2.7796294e-05,-1.1179855
86,Divaldo Suruagy,0.00017761161,-3.8167218e-07,-0.7726657
87,Djalma Paes,3.3815715e-05,0.079357274,1.390871
88,Dolores Nunes,-4.738236e-05,-5.6388963e-06,-0.3926949
89,Domiciano Cabral,-0.002088936,-0.505615,-1.3112156
90,Dr. Benedito Dias,-0.025023894,0.026809666,0.4587519
91,Dr. Gomes,-4.1045205e-05,-5.2370662e-05,-0.018828886
92,Dr. Heleno,0.015346732,-0.6301319,-1.2357806
93,Dr. Hélio,-0.0069950474,0.00036383158,0.06932187
94,Dr. Rosinha,-0.07804958,-1.0947083,2.3341687
95,Duilio Pisaneschi,5.597142e-05,3.0699644e-05,-1.0537665
96,Eber Silva,1.2485044e-05,0.010706629,-1.2245517
97,Edinho Bez,0.074872315,-2.3298836,-0.6907856
98,Edir Oliveira,-1.2312708e-05,-4.338899,-0.66896445
99,Edison Andrino,-0.006095418,0.13335416,0.19331522
100,Edmar Moreira,0.001565178,-0.5614751,0.22775161
101,Edmundo Galdino,0.00014885137,-0.9443063,-0.45884717
102,Eduardo Barbosa,0.20147952,-0.03028367,-0.017631676
103,Eduardo Campos,0.0028833435,-2.8965175,0.7547842
104,Eduardo Seabra,0.0053432216,-0.6541786,-0.015589644
105,Elcione Barbalho,-0.005675989,-1.204001,0.10217843
106,Elias Murad,0.00036911515,-0.022084482,-0.52219445
107,Eliseu Moura,0.010453877,-0.69525295,0.85349363
108,Emerson Kapaz,-3.426274e-06,-1.7898012,0.68147635
109,Enio Bacci,-0.12720387,-0.012865758,-0.1216878
110,Esther Grossi,-1.4435398e-05,-0.88984936,-0.9830484
111,Eujácio Simões,-0.00023785439,0.0003810783,-0.0011734389
112,Euler Morais,-3.5286826e-05,-0.023200233,1.1416479
113,Euler Ribeiro,0.0002350274,-0.0058284174,-0.006953389
114,Eunício Oliveira,0.020054972,-1.7955172,-0.49596766
115,Eurico Miranda,2.4663852e-05,0.8251006,0.11841173
116,Eurípedes Miranda,-6.264172e-07,0.9290922,1.7057633
117,Evandro Milhomen,0.08849029,-0.15040888,0.36915815
118,Expedito Júnior,-6.2300656e-05,1.3084525e-05,-0.7145535
119,Ezidio Pinheiro,-5.8673133e-05,-0.14609836,-2.1332892e-07
120,Félix Mendonça,-0.0026536393,0.586969,-0.018742537
121,Fernando Coruja,-0.021582587,-0.40191096,-1.3735086
122,Fernando Diniz,-0.000107281245,-2.1388216,-1.314941
123,Fernando Ferro,-0.0005712779,-2.0207472,0.6471316
124,Fernando Gabeira,-0.044852003,1.1872195,-0.9224814
125,Fernando Gonçalves,0.0017033584,-2.0737715,-0.20193446
126,Fernando Zuppo,-1.8647324e-05,1.1735626e-06,0.8231169
127,Fetter Junior,-4.7343434e-05,-0.3779577,-0.71703094
128,Fioravante,0.00010358264,-0.79709315,-0.992337
129,Flávio Arns,-5.3426666e-05,-1.7156913,0.7666404
130,Francisco Coelho,0.00018741595,-1.8470771e-05,-0.48959053
131,Francisco Garcia,-0.0050798394,-1.9896686,-1.3024538
132,Francistônio Pinto,1.6425165e-05,-1.2372993e-06,-0.5306594
133,Freire Júnior,-0.0017283501,1.7693602,-0.07075382
134,Gastão Vieira,-0.003787357,0.422144,-0.56022346
135,Geddel Vieira Lima,-0.44054678,2.625824,-0.06257679
136,Geovan Freitas,-0.01514608,0.37021548,2.3020375
137,Geraldo Magela,-0.0316287,-0.07634395,-0.3024042
138,Germano Rigotto,8.231855e-06,-0.007966663,1.1609263
139,Gerson Peres,-0.02004816,-0.2137239,-1.1209486
140,Gilberto Kassab,0.00031601035,1.1113235,-3.2081869
141,Gilmar Machado,-0.018534163,-1.917149,1.2384157
142,Giovanni Queiroz,-0.003147156,-0.036399752,-1.3986828
143,Givaldo Carimbão,0.07721088,-1.3336346,1.929262
144,Glycon Terra Pinto,-1.3999932e-05,-8.447345e-06,2.2495453e-05
145,Gustavo Fruet,0.028778614,-0.15791799,0.7876313
146,Haroldo Lima,-2.5269022e-05,0.018194148,0.24976918
147,Helenildo Ribeiro,-0.007644164,1.7492671,-4.0642343
148,Hélio Calixto Costa,1.1137613e-06,-0.56791055,0.9945336
149,Henrique Eduardo Alves,0.37563485,-0.9745815,0.17497626
150,Henrique Fontana,-0.30429444,-3.0306308,2.2697072
151,Hermes Parcianello,0.12414945,-0.5745793,0.29442805
152,Hugo Biehl,0.000416314,-0.019148292,-1.7521036
153,Iara Bernardi,0.0009962734,-0.78878206,0.6960806
154,Iberê Ferreira,0.0020641994,-2.241631,-1.0476568
155,Ibrahim Abi-Ackel,0.00011374928,-5.4534264,-1.3828403
156,Iédio Rosa,4.3387307e-05,0.00024318254,-0.67408216
157,Igor Avelino,0.00015500846,-1.9451345e-06,-0.47546384
158,Ildefonço Cordeiro,-1.517434e-05,1.7693719e-06,-0.55391294
159,Inácio Arruda,0.0030164744,-1.1934239,0.5863821
160,Inaldo Leitão,0.0104147345,-1.6873649,-0.56005764
161,Inocêncio Oliveira,-0.013947424,-1.2331983,-0.5857026
162,Itamar Serpa,-0.0026205482,1.2106822,-1.7997684
163,Ivan Paixão,0.014542677,-1.3788228,0.11568243
164,Jaime Fernandes,-4.7605514e-05,-0.007053695,-0.9478394
165,Jaime Martins,-0.051634926,-1.5639437,-0.10106336
166,Jair Bolsonaro,0.087518364,2.71776,0.47580582
167,Jair Meneguelli,8.257344e-05,-0.7787645,-0.87098384
168,Jairo Carneiro,0.003119115,-1.0627977,-1.0332996
169,Jaques Wagner,-4.5703873e-06,-0.0016536375,2.1317426e-05
170,João Almeida,-0.35992053,1.639256,-3.000822
171,João Caldas,-0.0022802078,-5.503414,0.18393733
172,João Castelo,-4.5687786e-05,1.8428946,-4.133416
173,João Colaço,2.2904738e-05,-2.166219e-06,-1.7943182
174,João Coser,2.8316186e-05,-0.6736729,-0.96640915
175,João Eduardo Dado,-0.0027026883,-0.31441894,0.29421675
176,João Grandão,-2.852051e-05,-0.66370845,-0.14378777
177,João Henrique,-8.9076086e-05,-2.5786929e-05,-0.3940603
178,João Herrmann Neto,-0.0070442297,-0.27663103,-0.38621435
179,João Leão,-0.10534164,-1.9145031,0.8174512
180,João Magalhães,0.05411329,-1.249219,-0.70664805
181,João Magno,-3.5627876e-05,-3.41834,0.1495401
182,João Matos,0.09198004,-1.5292674,0.9705472
183,João Mendes,-9.3539435e-05,-0.0061587836,-1.4148368
184,João Pizzolatti,0.00061657716,-2.633054,-0.17337574
185,João Sampaio,-3.150732e-05,1.1330184,1.4532924
186,João Tota,-0.016225267,-2.1285129,-1.2157475
187,Joaquim Francisco,-0.00014085874,-0.089615226,-1.4201701
188,Joel de Hollanda,-0.010749336,-0.0019583974,-2.5453062
189,Jorge Alberto,-4.7828464e-05,-2.2327564,-0.9699703
190,Jorge Bittar,0.0040981276,-2.7344327,1.5425476
191,Jorge Khoury,0.0014924054,1.3816843,-2.9201999
192,Jorge Pinheiro,4.2080792e-05,-3.5981266,-1.335774
193,Jorge Tadeu Mudalen,0.012773855,0.87167615,-3.3577535
194,Jorge Wilson,4.5105604e-05,7.64466e-05,-0.6485504
195,José Antonio Almeida,2.8728551e-05,-0.0065461653,0.5382145
196,José Borba,-5.1624957e-06,-3.9769442,-1.0377784
197,José Carlos Elias,-4.7983558e-05,-4.0945926,-0.69502926
198,José Carlos Fonseca Jr.,-9.8951416e-05,-0.3213671,-0.37383837
199,José Carlos Martinez,-3.952461e-05,-2.9448657,0.90526384
200,José Chaves,0.2680405,-1.8040223,-1.4856436
201,José Dirceu,-0.00017424555,-2.2428193,-0.23280263
202,José Egydio,-4.94688e-06,2.3665729e-05,-9.0362955e-05
203,José Genoíno,0.0023693058,-1.2023426,0.9314238
204,José Janene,-4.6290315e-05,-5.200915,0.2928371
205,José Linhares,0.018200412,-0.5406784,-0.95055574
206,José Lourenço,-4.7230416e-05,4.767165e-05,-0.7581344
207,José Mendonça Bezerra,-0.0025335418,0.5472078,-1.192099
208,José Militão,8.0691185e-05,-1.3110533,-1.2308275
209,José Pimentel,-0.034183268,-0.696333,-1.3210928
210,José Priante,-0.017762724,-2.7680368,-1.5852592
211,José Roberto Batochio,8.724772e-06,0.04029934,1.365321
212,José Rocha,-0.11995899,-1.3488435,-2.2081573
213,José Teles,7.578256e-05,-0.013944493,-1.4225492
